reporting_date,uniqueContID,ProductID,platform_identifier,confirmation_platform,counterparty_1_lei,counterparty_1_ID,counterparty_1_country,counterparty_2_lei,counterparty_2_name,counterparty_2_country,counterparty_2_sector,counterparty_2_rating,asset_class,contract_type,product_name,instrument_type,underlying_asset_type,underlying_id,underlying_name,cfi_code,isin,trade_date,effective_date,maturity_date,termination_date, notional_amount_leg1 ,notional_currency_leg1, notional_amount_leg2 ,notional_currency_leg2, price ,price_currency,fixed_rate_leg1,fixed_rate_leg2,floating_rate_index_leg1,floating_rate_index_leg2,spread_leg1_bps,spread_leg2_bps,payment_frequency_leg1,payment_frequency_leg2,day_count_leg1,day_count_leg2,buyer_lei,seller_lei,payer_leg1,receiver_leg1,direction,position_side,quantity,unit_of_measure,cleared,central_counterparty_lei,clearing_timestamp,settlement_date,settlement_currency,settlement_type,valuation_timestamp,valuation_amount,valuation_currency,valuation_method,valuation_source,collateralisation_category,collateral_portfolio_indicator,collateral_portfolio_code, initial_margin_posted , initial_margin_received , variation_margin_posted , variation_margin_received , excess_collateral_posted , excess_collateral_received ,margin_currency,option_type,option_style,strike_price,strike_currency,option_premium,premium_currency,premium_payment_date,expiry_date,reference_entity_lei,reference_entity_name,reference_obligation,seniority,credit_event,restructuring_clause,master_agreement_type,master_agreement_version,netting_set_id,margin_agreement_id,beneficiary_lei,broker_lei,clearing_member_lei
31/5/25,99999990011,99990001,MTF,Internal,254900F6KD0V3NHL4K90,AkbarBank SG,SG,1Q3TMY4GPYWSSBZRAD87,Counterparty 863 Investments,AU,Bank,BBB,Interest Rate,Swap,Basis Swap,OTC Derivative,Interest Rate,BBSW,BBSW,SRXXXX,,28/5/25,29/5/25,28/5/30,,"500,000,000",JPY,,,0.042896,JPY,0.042896,0.030051,TONAR,SONIA,169.71,-22.96,Annual,Semi-Annual,30/360,30/360,1Q3TMY4GPYWSSBZRAD87,254900F6KD0V3NHL4K90,1Q3TMY4GPYWSSBZRAD87,254900F6KD0V3NHL4K90,Sell,Short,,,N,,,29/5/25,JPY,Cash,2025-05-29T19:00:00,"-13,862,470",JPY,Mark-to-Market,Market Data Vendor,Uncollateralised,N,CSA-4626,"6,232,546","3,011,922","8,764,606", -   ,"3,238,262","3,177,020",JPY,,,,,,,,,,,,,,,GMRA,2018,NS-141,MA-226,1Q3TMY4GPYWSSBZRAD87,,
31/5/25,99999990012,99990001,OTC,MarkitWire,254900F6KD0V3NHL4K90,AkbarBank SG,SG,HGP8IY3X80J0G50RCX37,Counterparty 554 Investments,SG,Broker Dealer,AAA,Commodity,Option,Commodity Option,OTC Derivative,Commodity,NATURAL_GAS,Natural Gas,OCXXXX,,2/5/25,4/5/25,2/11/25,,"35,000,000",USD,,,41.0849,USD,,,,,,,At Maturity,,ACT/365,,254900F6KD0V3NHL4K90,HGP8IY3X80J0G50RCX37,254900F6KD0V3NHL4K90,HGP8IY3X80J0G50RCX37,Buy,Long,388874,MMBtu,N,,,4/5/25,USD,Cash,2025-05-04T19:00:00,"793,545",USD,Mark-to-Market,Market Data Vendor,One-way CSA,N,CSA-9408,"627,003","22,425","170,498","793,545","207,783","158,202",USD,Call,Bermudan,29.974,USD,1104104.85,USD,4/5/25,17/8/25,,,,,,,None,2018,NS-129,MA-241,,,
31/5/25,99999990013,99990001,SEF,TriOptima,254900F6KD0V3NHL4K90,AkbarBank SG,SG,G52EFUJEIR9UY7S36122,Counterparty 912 Pte Ltd,FR,Broker Dealer,AAA,Foreign Exchange,Swap,Cross Currency Swap,OTC Derivative,Currency Pair,HKD/EUR,HKD/EUR,SFCXXX,,3/12/25,4/12/25,2/12/32,,"1,500,000,000",HKD,"1,393,666,693",EUR,1.424185,EUR,0.022034,,SONIA,BBSW,26.47,236.08,Monthly,Semi-Annual,30/360,ACT/360,G52EFUJEIR9UY7S36122,254900F6KD0V3NHL4K90,G52EFUJEIR9UY7S36122,254900F6KD0V3NHL4K90,Sell,Long,,,N,,,5/12/25,HKD,Physical,2025-12-04T19:00:00,"-103,888,006",HKD,Mark-to-Market,Internal Model,Fully Collateralised,N,CSA-6567,"37,429,735","4,195,355","103,888,006","24,353,079","5,265,351","2,721,083",HKD,,,,,,,,,,,,,,,ISDA,,NS-104,MA-209,,,
31/5/25,99999990014,99990001,OTC,Internal,254900F6KD0V3NHL4K90,AkbarBank SG,SG,Y03VKXTUFDJKDFR21587,Counterparty 552 Investments,DE,Asset Manager,AAA,Interest Rate,Option,Floor,OTC Derivative,Interest Rate,BBSW,BBSW,SRXXXX,,21/5/25,22/5/25,20/11/25,,"950,000,000",SGD,,,0.021776,SGD,0.021776,0.064028,SOFR,,-47.69,,Quarterly,,30/360,,Y03VKXTUFDJKDFR21587,5493001KJTIIGC8Y1R12,5493001KJTIIGC8Y1R12,5493001KJTIIGC8Y1R12,Sell,Short,,,N,,,23/5/25,SGD,Cash,2025-05-24T19:00:00,"67,689,261",SGD,Mark-to-Model,Internal Model,Partially Collateralised,N,CSA-7560,"21,869,462","21,778,586", -   ,"67,689,261","4,977,644","3,759,784",SGD,Put,Bermudan,98.0881,SGD,13290192.46,SGD,23/5/25,13/9/25,,,,,,,ISDA,1992,NS-132,MA-240,,,
31/5/25,99999990015,99990001,MTF,Manual,254900F6KD0V3NHL4K90,AkbarBank SG,SG,JPGJQMLJEL532UUJ2E70,Counterparty 552 Capital,DE,Corporate,A,Interest Rate,Swap,Basis Swap,OTC Derivative,Interest Rate,SOFR,SOFR,SRXXXX,,13/2/26,15/2/26,17/5/26,,"20,000,000",JPY,,,0.042792,JPY,0.042792,,SOFR,TONAR,128.22,65.34,Semi-Annual,Monthly,30/360,30/360,254900F6KD0V3NHL4K90,JPGJQMLJEL532UUJ2E70,JPGJQMLJEL532UUJ2E70,254900F6KD0V3NHL4K90,Buy,Long,,,Y,SGXASGSGXXX,2026-02-13T06:00:00,15/2/26,JPY,Cash,2026-02-13T19:00:00,"-160,852",JPY,Mark-to-Model,Internal Model,Partially Collateralised,Y,CSA-3712,"485,890","391,102","160,852", -   ,"144,237","8,738",JPY,,,,,,,,,,,,,,,GMRA,2002,NS-128,MA-239,,VEVG9YSQJVFJWTZIFT81,VI7F16XBXTLNV5MOIJ19
31/5/25,99999990016,99990001,SEF,TriOptima,254900F6KD0V3NHL4K90,AkbarBank SG,SG,T4MX23SY670KMIQD4X80,Counterparty 205 Holdings,IN,Corporate,AAA,Equity,Option,Equity Option,OTC Derivative,Single Name Equity,HSBA,HSBA LN Equity,OESXXX,US8943330230,6/3/25,8/3/25,6/9/25,,"28,000,000",CNH,,,184.382,CNH,,,,,,,At Maturity,,ACT/360,,T4MX23SY670KMIQD4X80,5493001KJTIIGC8Y1R12,5493001KJTIIGC8Y1R12,T4MX23SY670KMIQD4X80,Sell,Short,195718,Troy Ounces,Y,LCHLGB2LXXX,2025-03-06T01:00:00,7/3/25,CNH,Physical,2025-03-08T19:00:00,"1,305,385",CNH,Mark-to-Market,Market Data Vendor,Partially Collateralised,Y,CSA-6447,"115,584","240,979","389,800","1,305,385","37,355","98,644",CNH,Put,Bermudan,60.2705,CNH,878823.71,CNH,8/3/25,3/7/25,,,,,,,GMRA,,NS-140,MA-211,T4MX23SY670KMIQD4X80,,B6PJS1AWP0LF7XE78674
31/5/25,99999990017,99990001,OTC,MarkitWire,254900F6KD0V3NHL4K90,AkbarBank SG,SG,SMCMCUT6Z84QCMSWDV44,Counterparty 227 Capital,DE,Asset Manager,BB,Credit,Swap,Index CDS,OTC Derivative,Credit Index,iTraxx Europe,iTraxx Europe,SCXXXX,,13/8/25,18/8/25,16/8/35,,"800,000,000",EUR,,,248.3,EUR,,,,,,,Quarterly,,30/360,,SMCMCUT6Z84QCMSWDV44,5493001KJTIIGC8Y1R12,SMCMCUT6Z84QCMSWDV44,SMCMCUT6Z84QCMSWDV44,Sell,Long,,,Y,CMEGUS33XXX,2025-08-13T02:00:00,15/8/25,EUR,Cash,2025-08-15T19:00:00,"-53,897,343",EUR,Mark-to-Model,Market Data Vendor,One-way CSA,Y,CSA-3513,"14,458,879","19,736,191","53,897,343", -   ,"5,432,496","7,590,588",EUR,,,,,,,,,,iTraxx Europe,Senior Bond 2032,Subordinated,Bankruptcy,XR,ISDA,2018,NS-125,MA-220,,,
31/5/25,99999990018,99990001,SEF,Internal,254900F6KD0V3NHL4K90,AkbarBank SG,SG,57Y9HQQ2NS5MHIE2L221,Counterparty 929 Capital,CN,Asset Manager,AA,Commodity,Swap,Commodity Swap,OTC Derivative,Commodity,COPPER,Copper,SCXXXX,,9/12/25,11/12/25,11/6/26,,"300,000,000",EUR,,,71.5756,EUR,,,,,,,At Maturity,,ACT/360,,5493001KJTIIGC8Y1R12,57Y9HQQ2NS5MHIE2L221,57Y9HQQ2NS5MHIE2L221,57Y9HQQ2NS5MHIE2L221,Buy,Long,435889,Shares,N,,,11/12/25,EUR,Cash,2025-12-11T19:00:00,"14,019,152",EUR,Mark-to-Model,Internal Model,Partially Collateralised,N,CSA-4694,"2,130,626","4,446,197", -   ,"14,019,152","1,038,069","2,822,712",EUR,,,,,,,,,,,,,,,GMRA,1992,NS-116,MA-212,,,
31/5/25,99999990019,99990001,OTC,TriOptima,254900F6KD0V3NHL4K90,AkbarBank SG,SG,8F6KJKVCBFCQN0B58S92,Counterparty 409 Investments,CN,Corporate,BBB,Interest Rate,Option,Floor,OTC Derivative,Interest Rate,SORA,SORA,SRXXXX,,7/5/25,12/5/25,11/5/28,,"140,000,000",USD,,,0.023762,USD,0.023762,0.056343,SONIA,,170.26,,Monthly,,ACT/365,,8F6KJKVCBFCQN0B58S92,254900F6KD0V3NHL4K90,8F6KJKVCBFCQN0B58S92,254900F6KD0V3NHL4K90,Sell,Long,,,N,,,9/5/25,USD,Physical,2025-05-07T19:00:00,"10,648,380",USD,Mark-to-Market,Internal Model,Fully Collateralised,N,CSA-8710,"549,218","1,556,269", -   ,"10,648,380","400,048","11,448",USD,Call,American,50.805,USD,1584022.03,USD,9/5/25,8/3/28,,,,,,,GMRA,,NS-123,MA-202,,,
31/5/25,99999990020,99990001,OTC,MarkitWire,254900F6KD0V3NHL4K90,AkbarBank SG,SG,EY629RHIGZXV9XJM6Z74,Counterparty 141 Pte Ltd,FR,Broker Dealer,BB,Foreign Exchange,Forward,NDF,OTC Derivative,Currency Pair,EUR/AUD,EUR/AUD,FFCXXX,,21/1/25,22/1/25,21/1/30,,"100,000,000",EUR,," 98,223,600 ", 0.98224 ,AUD,,,,,,,Quarterly,,30/360,,EY629RHIGZXV9XJM6Z74,254900F6KD0V3NHL4K90,254900F6KD0V3NHL4K90,254900F6KD0V3NHL4K90,Sell,Long,,,Y,CMEGUS33XXX,2025-01-21T04:00:00,23/1/25,EUR,Cash,2025-01-24T19:00:00,"7,849,852",EUR,Mark-to-Model,Market Data Vendor,One-way CSA,Y,CSA-7765,"2,217,958","897,703", -   ,"1,064,680","690,500","410,377",EUR,,,,,,,,,,,,,,,None,,NS-155,MA-254,,,
31/5/25,99999990021,99990001,Bilateral,TriOptima,254900F6KD0V3NHL4K90,AkbarBank SG,SG,47YUL38V8WQ4MPR9TO48,Counterparty 889 Capital,AU,Asset Manager,B,Credit,Swap,Credit Default Swap,OTC Derivative,Reference Entity,8YZWJSCSFW2Q4NM8R999,Petronas,SCXXXX,,28/12/25,29/12/25,27/12/35,,"900,000,000",AUD,,,110.62,AUD,,,,,,,At Maturity,,30/360,,254900F6KD0V3NHL4K90,47YUL38V8WQ4MPR9TO48,254900F6KD0V3NHL4K90,254900F6KD0V3NHL4K90,Buy,Short,,,Y,CMEGUS33XXX,2025-12-28T05:00:00,30/12/25,AUD,Cash,2025-12-31T19:00:00,"16,657,493",AUD,Mark-to-Market,Market Data Vendor,Partially Collateralised,N,CSA-5215,"15,844,423","6,546,367", -   ,"16,657,493","6,467,384","126,758",AUD,,,,,,,,,8YZWJSCSFW2Q4NM8R999,Petronas,Senior Bond 2032,Subordinated,Restructuring,XR,ISDA,2002,NS-139,MA-254,47YUL38V8WQ4MPR9TO48,,O8CL0LCZ5LSCATGVS392
31/5/25,99999990022,99990001,Bilateral,Internal,254900F6KD0V3NHL4K90,AkbarBank SG,SG,FZGLI4UPAQYP2RVTAQ93,Counterparty 468 Bank,FR,Broker Dealer,BB,Equity,Forward,Equity Forward,OTC Derivative,Single Name Equity,DBS,DBS SP Equity,SESXXX,US3294493797,2/2/25,2/2/25,31/1/35,,"200,000,000",HKD,,,204.4588,HKD,,,,,,,At Maturity,,ACT/365,,254900F6KD0V3NHL4K90,FZGLI4UPAQYP2RVTAQ93,FZGLI4UPAQYP2RVTAQ93,FZGLI4UPAQYP2RVTAQ93,Buy,Long,207592,Troy Ounces,N,,,4/2/25,HKD,Cash,2025-02-03T19:00:00,"8,379,508",HKD,Mark-to-Market,Counterparty Statement,Uncollateralised,Y,CSA-7941,"4,082,052","3,574,887","2,102,027","8,379,508","689,058","127,520",HKD,,,,,,,,,,,,,,,ISDA,1992,NS-159,MA-230,,,
31/5/25,99999990023,99990001,OTC,TriOptima,254900F6KD0V3NHL4K90,AkbarBank SG,SG,XY2YYF8IWHL8Z7IOAB48,Counterparty 574 Holdings,GB,Sovereign,BB,Interest Rate,Swap,Overnight Index Swap,OTC Derivative,Interest Rate,BBSW,BBSW,SRXXXX,,7/8/25,12/8/25,12/8/27,,"35,000,000",AUD,,,0.050343,AUD,0.050343,0.043762,TONAR,,179.82,,Monthly,,30/360,,254900F6KD0V3NHL4K90,XY2YYF8IWHL8Z7IOAB48,XY2YYF8IWHL8Z7IOAB48,254900F6KD0V3NHL4K90,Buy,Long,,,N,,,8/8/25,AUD,Physical,2025-08-10T19:00:00,"-1,452,269",AUD,Mark-to-Model,Internal Model,Fully Collateralised,N,CSA-9592,"70,655","623,641","1,452,269", -   ,"111,557","145,714",AUD,,,,,,,,,,,,,,,ISDA,2018,NS-124,MA-211,,,
31/5/25,99999990024,99990001,OTC,Manual,254900F6KD0V3NHL4K90,AkbarBank SG,SG,J3D90097IYPQNVF2XF78,Counterparty 841 Bank,DE,Bank,BB,Interest Rate,Swap,Overnight Index Swap,OTC Derivative,Interest Rate,TONAR,TONAR,SRXXXX,,28/1/25,30/1/25,29/1/32,,"1,900,000,000",GBP,,,0.016064,GBP,0.016064,0.05919,SONIA,,237.11,,Monthly,,ACT/365,,254900F6KD0V3NHL4K90,J3D90097IYPQNVF2XF78,J3D90097IYPQNVF2XF78,254900F6KD0V3NHL4K90,Buy,Short,,,N,,,29/1/25,GBP,Physical,2025-01-28T19:00:00,"-87,610,437",GBP,Mark-to-Market,Internal Model,Fully Collateralised,Y,CSA-7223,"10,831,351","42,264,087","28,664,568","26,433,799","10,826,001","4,668,870",GBP,,,,,,,,,,,,,,,None,2018,NS-116,MA-248,,,
31/5/25,99999990025,99990001,MTF,MarkitWire,254900F6KD0V3NHL4K90,AkbarBank SG,SG,KWKI85L8D7CEDA0IOE29,Counterparty 109 Bank,SG,Bank,BBB,Credit,Swap,Index CDS,OTC Derivative,Credit Index,CDX.NA.IG,CDX.NA.IG,SCXXXX,,17/9/25,22/9/25,21/9/30,,"18,000,000",CNH,,,44.35,CNH,,,,,,,Monthly,,30/360,,KWKI85L8D7CEDA0IOE29,254900F6KD0V3NHL4K90,254900F6KD0V3NHL4K90,KWKI85L8D7CEDA0IOE29,Sell,Short,,,N,,,18/9/25,CNH,Physical,2025-09-20T19:00:00,"102,926",CNH,Mark-to-Model,Counterparty Statement,Uncollateralised,Y,CSA-4764,"154,812","271,197", -   ,"102,926","38,055","156,261",CNH,,,,,,,,,,CDX.NA.IG,Senior Bond 2034,Subordinated,Bankruptcy,MM,None,2018,NS-157,MA-234,,,
31/5/25,99999990026,99990001,SEF,Internal,254900F6KD0V3NHL4K90,AkbarBank SG,SG,NJZETKPY8VYIF6WDG139,Counterparty 958 Pte Ltd,HK,Corporate,BBB,Interest Rate,Swap,Basis Swap,OTC Derivative,Interest Rate,EURIBOR,EURIBOR,SRXXXX,,25/6/25,30/6/25,29/6/30,,"24,000,000",CNH,,,0.02949,CNH,0.02949,,BBSW,EURIBOR,-24.29,135.58,At Maturity,Quarterly,30/360,30/360,5493001KJTIIGC8Y1R12,NJZETKPY8VYIF6WDG139,5493001KJTIIGC8Y1R12,NJZETKPY8VYIF6WDG139,Buy,Long,,,N,,,26/6/25,CNH,Physical,2025-06-27T19:00:00,"818,337",CNH,Mark-to-Model,Market Data Vendor,One-way CSA,Y,CSA-2036,"59,067","111,039","304,272","152,006","40,130","66,231",CNH,,,,,,,,,,,,,,,GMRA,,NS-150,MA-204,,,
